top - 18:42:23 up  8:06,  1 user,  load average: 2.07, 1.21, 0.78
Tasks: 258 total,   5 running, 250 sleeping,   3 stopped,   0 zombie
%Cpu(s): 44.4 us, 26.4 sy,  0.0 ni, 29.2 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   3883.9 total,   1587.4 free,   1168.4 used,   1427.7 buff/cache     
MiB Swap:   1024.0 total,   1023.5 free,      0.5 used.   2715.5 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   1261 kali      20   0   12424   2236   1964 S   0.0   0.1   0:01.02 xcape
   1270 kali      20   0   64928  40132  21512 S   0.0   1.0   0:00.57 applet.+
   1271 kali      20   0  308516   6344   5960 S   0.0   0.2   0:00.01 agent
   1272 kali      20   0  148648  37364  28548 S   0.0   0.9   1:57.84 vmtoolsd
   1273 kali      20   0  791532   8568   7544 S   0.0   0.2   0:00.14 xiccd
   1281 kali      20   0  587412  43028  34468 S   0.0   1.1   0:01.90 nm-appl+
   1294 colord    20   0  315916  13592   9240 S   0.0   0.3   0:00.40 colord
   1423 kali      20   0  378700  17964  16172 S   0.0   0.5   0:00.05 obexd
   1431 kali      20   0  390872  10732   9708 S   0.0   0.3   0:00.10 gvfs-ud+
   1435 root      20   0  404284  13508  11460 S   0.0   0.3   0:01.10 udisksd
   1444 kali      20   0  390016   8576   7552 S   0.0   0.2   0:02.67 gvfs-af+
   1450 kali      20   0  307928   6636   6124 S   0.0   0.2   0:00.04 gvfs-mt+
   1456 kali      20   0  307824   6144   5632 S   0.0   0.2   0:00.03 gvfs-go+
   1461 kali      20   0  308880   6928   6288 S   0.0   0.2   0:00.06 gvfs-gp+
   1478 kali      20   0  168912   6200   5816 S   0.0   0.2   0:00.04 gvfsd-m+
   1482 kali      20   0  534208   8796   7900 S   0.0   0.2   0:00.12 gvfsd-t+
   2319 kali      20   0  556904  19628  16300 S   0.0   0.5   0:00.68 xdg-des+
   2325 kali      20   0  308740   6508   5996 S   0.0   0.2   0:00.00 xdg-per+
   2333 kali      20   0  614480   6956   6444 S   0.0   0.2   0:00.18 xdg-doc+
   2339 root      20   0    2584   1900   1900 S   0.0   0.0   0:00.38 fusermo+
   2346 kali      20   0  406556  17656  15096 S   0.0   0.4   0:00.35 xdg-des+
   4293 root      20   0       0      0      0 I   0.0   0.0   0:10.04 kworker+
   5296 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
 101580 root       0 -20       0      0      0 I   0.0   0.0   0:00.43 kworker+
 113242 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
 138175 root      20   0       0      0      0 I   0.0   0.0   0:03.98 kworker+
 154342 root      20   0       0      0      0 I   0.0   0.0   0:05.99 kworker+
 204738 root      20   0    6592   2192   1928 S   0.0   0.1   0:00.00 dbus-la+
 204739 root      20   0    8480   2672   2244 S   0.0   0.1   0:00.06 dbus-da+
 204741 root      20   0  481196  17908  14836 S   0.0   0.5   0:00.40 xdg-des+
 204748 root      20   0  308740   6536   6024 S   0.0   0.2   0:00.00 xdg-per+
 204757 root      20   0  538668   6700   6188 S   0.0   0.2   0:00.06 xdg-doc+
 204765 root      20   0    2584   1656   1656 S   0.0   0.0   0:00.64 fusermo+
 204769 root      20   0  406468  18660  16100 S   0.0   0.5   0:00.24 xdg-des+
 204778 root      20   0  312636   7736   7096 S   0.0   0.2   0:00.03 gvfsd
 204784 root      20   0  398368   6936   6296 S   0.0   0.2   0:00.03 gvfsd-f+
 204903 root      20   0       0      0      0 I   0.0   0.0   0:01.42 kworker+
 215577 root       0 -20       0      0      0 I   0.0   0.0   0:00.55 kworker+
 219424 root      20   0       0      0      0 I   0.0   0.0   0:03.57 kworker+
 219429 root      20   0       0      0      0 I   0.0   0.0   0:02.49 kworker+
 226054 root       0 -20       0      0      0 I   0.0   0.0   0:01.12 kworker+
 227239 root      20   0       0      0      0 I   0.0   0.0   0:03.84 kworker+
 236189 root      20   0       0      0      0 I   0.0   0.0   0:01.52 kworker+
 236240 root      20   0       0      0      0 I   0.0   0.0   0:01.95 kworker+
 243828 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
 245506 root      20   0       0      0      0 I   0.0   0.0   0:02.41 kworker+
 246103 root       0 -20       0      0      0 I   0.0   0.0   0:00.24 kworker+
 250577 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
 250587 root       0 -20       0      0      0 I   0.0   0.0   0:00.46 kworker+
 250637 root      20   0       0      0      0 I   0.0   0.0   0:00.51 kworker+
 252796 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
 254266 systemd+  20   0   21236  11192   9736 S   0.0   0.3   0:00.47 systemd+
 254323 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
 254340 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
 254542 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
 254543 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
 254619 kali      20   0  731676  68552  51816 S   0.0   1.7   0:32.25 qtermin+
 254634 kali      20   0   13980   7920   5140 S   0.0   0.2   0:07.12 zsh
 259383 root       0 -20       0      0      0 I   0.0   0.0   0:00.04 kworker+
 259744 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
 263916 root      20   0   22224   8260   6980 S   0.0   0.2   0:00.07 sudo
 263925 root      20   0   22224   2872   1536 S   0.0   0.1   0:00.00 sudo
 263926 root      20   0   59496  19560  15848 T   0.0   0.5   0:00.11 perf
 263927 root      20   0    2680   1660   1660 T   0.0   0.0   0:00.00 sh
 263928 root      20   0    6012   2600   2344 T   0.0   0.1   0:00.01 pager
 264295 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
 264789 kali      39  19  846432  27348  19844 S   0.0   0.7   0:00.68 tumblerd
 268067 root      20   0       0      0      0 I   0.0   0.0   0:00.59 kworker+
 269120 root       0 -20       0      0      0 I   0.0   0.0   0:00.08 kworker+
 272034 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
 273668 root      20   0       0      0      0 I   0.0   0.0   0:00.10 kworker+
 276455 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
 278778 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
 279126 root      20   0       0      0      0 I   0.0   0.0   0:00.22 kworker+
 279599 root      20   0   22224   8288   7008 S   0.0   0.2   0:00.02 sudo
 279603 root      20   0   22224   2584   1248 S   0.0   0.1   0:00.00 sudo
 279604 root      20   0   93408  62056  21096 S   0.0   1.6   0:00.66 python3
 279605 root      20   0    7088   3456   3200 S   0.0   0.1   0:00.00 kernel_+
