top - 18:47:36 up 18 min,  1 user,  load average: 2.02, 1.01, 0.54
Tasks: 258 total,   5 running, 253 sleeping,   0 stopped,   0 zombie
%Cpu(s): 42.1 us, 27.6 sy,  0.0 ni, 30.3 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   3883.9 total,   2277.2 free,   1033.0 used,    813.8 buff/cache     
MiB Swap:   1024.0 total,   1024.0 free,      0.0 used.   2850.9 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    194 root      20   0       0      0      0 I   0.0   0.0   0:00.58 kworker+
    211 root       0 -20       0      0      0 I   0.0   0.0   0:00.66 kworker+
    251 root       0 -20       0      0      0 I   0.0   0.0   0:00.10 kworker+
    252 root       0 -20       0      0      0 I   0.0   0.0   0:00.23 kworker+
    273 root       0 -20       0      0      0 I   0.0   0.0   0:00.08 kworker+
    275 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    276 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    277 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    278 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    279 root      20   0       0      0      0 S   0.0   0.0   0:00.04 scsi_eh+
    280 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    281 root      20   0       0      0      0 S   0.0   0.0   0:00.07 scsi_eh+
    282 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    295 root      20   0       0      0      0 I   0.0   0.0   0:00.49 kworker+
    334 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    336 root      20   0       0      0      0 I   0.0   0.0   0:00.12 kworker+
    337 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    361 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/16-+
    362 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    363 root      20   0       0      0      0 I   0.0   0.0   0:00.37 kworker+
    396 root      20   0       0      0      0 S   0.0   0.0   0:01.62 jbd2/sd+
    397 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    446 root     -51   0       0      0      0 S   0.0   0.0   0:00.13 irq/56-+
    447 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/57-+
    448 root     -51   0       0      0      0 S   0.0   0.0   0:00.01 irq/58-+
    464 root      20   0   59332  24716  23692 S   0.0   0.6   0:01.19 systemd+
    482 systemd+  20   0   91876   8096   7072 S   0.0   0.2   0:00.23 systemd+
    487 root      20   0   37224  11364   7780 S   0.0   0.3   0:00.75 systemd+
    511 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 psimon
    586 root      20   0  232364   1532   1392 S   0.0   0.0   0:00.03 vmware-+
    612 root      20   0    8380   6644   1696 S   0.0   0.2   0:00.59 haveged
    644 root      20   0  309016   6936   6424 S   0.0   0.2   0:00.26 account+
    646 message+  20   0   10252   6496   4192 S   0.0   0.2   0:01.52 dbus-da+
    649 polkitd   20   0  385948  10564   7880 S   0.0   0.3   0:00.80 polkitd
    653 root      20   0   18984   8968   7944 S   0.0   0.2   0:00.50 systemd+
    657 root      20   0  253156  10076   8540 S   0.0   0.3   0:06.75 vmtoolsd
    684 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    685 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    697 root      20   0    6864   2660   2532 S   0.0   0.1   0:00.03 cron
    719 root      20   0  336336  19204  16388 S   0.0   0.5   0:00.60 Network+
    777 root      20   0  317180  12008  10344 S   0.0   0.3   0:00.24 ModemMa+
    787 root      20   0       0      0      0 I   0.0   0.0   0:00.57 kworker+
    813 root      20   0  380968   6828   6316 S   0.0   0.2   0:00.12 lightdm
    823 root      20   0  368064 116772  64324 S   0.0   2.9   1:22.35 Xorg
    825 root      20   0    8160   2604   2476 S   0.0   0.1   0:00.04 agetty
    845 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 psimon
    877 rtkit     21   1   21472   2964   2836 S   0.0   0.1   0:00.13 rtkit-d+
    951 root      20   0  172764  10136   9112 S   0.0   0.3   0:00.05 lightdm
    962 kali      20   0   22760  12692  10132 S   0.0   0.3   0:00.58 systemd
    964 kali      20   0   25040   3840   2052 S   0.0   0.1   0:00.00 (sd-pam)
    984 kali      20   0    9156   5900   4364 S   0.0   0.1   0:00.83 dbus-da+
    985 kali       9 -11  110704  14180   9832 S   0.0   0.4   0:00.11 pipewire
    986 kali      20   0   84744   5372   4860 S   0.0   0.1   0:00.04 pipewire
    988 kali       9 -11  612964  33388  25964 S   0.0   0.8   0:00.33 wireplu+
    989 kali       9 -11   99332   8748   7468 S   0.0   0.2   0:00.06 pipewir+
    990 kali      20   0  183144   9644   8876 S   0.0   0.2   0:00.13 gnome-k+
